date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:09%20GMT	https://www.shipito.com/fr/blog	D:/shipito/shipito/www.shipito.com/fr/blog	(from https://www.shipito.com/fr/services/what-is-shipito)
14:45:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:09%20GMT	https://www.shipito.com/fr/blog	D:/shipito/shipito/www.shipito.com/fr/blog	(from https://www.shipito.com/fr/help/locations)
14:45:10	0/-1	---M--	301	error ('')			https://www.shipito.com/fr/shipito-forwarding-service	D:/shipito/shipito/www.shipito.com/fr/shipito-forwarding-service.10e.delayed	(from https://www.shipito.com/fr/help/locations)
14:45:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:09%20GMT	https://www.shipito.com/fr/blog	D:/shipito/shipito/www.shipito.com/fr/blog	(from https://www.shipito.com/fr/help/locations)
14:45:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2013:45:10%20GMT	https://www.shipito.com/fr/newsroom	D:/shipito/shipito/www.shipito.com/fr/newsroom	(from https://www.shipito.com/fr/help/locations)
14:45:11	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:10%20GMT	https://www.shipito.com/imgs/locations/TopBanner.png	D:/shipito/shipito/www.shipito.com/imgs/locations/TopBanner.png	(from https://www.shipito.com/fr/help/locations)
14:45:13	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:12%20GMT	https://www.shipito.com/imgs/locations/WhsCA1.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsCA1.png	(from https://www.shipito.com/fr/help/locations)
14:45:17	117243/117243	---M--	200	added ('OK')	image/png	etag:b254e499aad54fb18e38b5a207c81f9d	https://www.shipito.com/en/imgs/locations/WhsCA1.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/California1.png	(from https://www.shipito.com/fr/help/locations)
14:45:18	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:16%20GMT	https://www.shipito.com/imgs/locations/WhsCA2.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsCA2.png	(from https://www.shipito.com/fr/help/locations)
14:45:18	247015/247015	---M--	200	added ('OK')	image/png	etag:b85b40550ef482a02f1a9d2bd77a91b1	https://www.shipito.com/en/imgs/locations/TopBanner.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/LocationsTopBanner.png	(from https://www.shipito.com/fr/help/locations)
